qid,lang,coarse_category,finegrained_category,scenario,subject,emo_label,emo_answer,cause_label,cause_answer,model_response,score
51,zh,personal_beliefs_and_experiences,cultural_value,为了庆祝他搬进新家，小钟主持了乔迁派对并且邀请了他最好的一个朋友，小利。大概下午6点时，小利到达了小钟的家并且进屋时没有脱鞋。见此情景，小钟要求他脱鞋并且给了他一双拖鞋在室内用。,小利,A,C,A,A,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""A""
}
```",0
52,zh,personal_beliefs_and_experiences,cultural_value,小萨和艾米决定一起去印度餐厅吃晚饭。艾米是美国人，从来没吃过印餐。他们来了这个餐厅因为小萨希望艾米尝试她的文化和食物。 餐品一上，小萨就开始用手吃饭，并且谈起这顿饭如何让她想起来妈妈做的饭菜。,艾米,D,C,C,C,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""C""
}
```",0
53,zh,personal_beliefs_and_experiences,cultural_value,小萨和艾米决定一起去印度餐厅吃晚饭。艾米是美国人，从来没吃过印餐。他们来了这个餐厅因为小萨希望艾米尝试她的文化和食物。 餐品一上，小萨就开始用手吃饭，并且谈起这顿饭如何让她想起来妈妈做的饭菜。,小萨,A,D,A,A,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""A""
}
```",0
54,zh,personal_beliefs_and_experiences,cultural_value,在去日本的旅行过程中，小洁去了一家好评很多的寿司餐厅。她给自己点了很多菜，吃到很饱。她要了发票并且给了慷慨地一笔20美元的小费。但服务员看到小费后把它还给了小洁,小洁,F,F,B,B,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""B""
}
```",1
55,zh,personal_beliefs_and_experiences,cultural_value,在去日本的旅行过程中，小洁去了一家好评很多的寿司餐厅。她给自己点了很多菜，吃到很饱。她要了发票并且给了慷慨地一笔20美元的小费。但服务员看到小费后把它还给了小洁,服务员,E,D,A,A,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""A""
}
```",0
56,zh,personal_beliefs_and_experiences,cultural_value,小薇最近从中国来了德国当交换生。今天早上，阿飒，她的德国同班同学，邀请她去看一个电影，电影7点半开始。在欧洲，不像在中国，电影通常晚20到30分钟开始播放。小薇8点才到，不过阿飒什么也没说。,小薇,C,C,A,C,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""C""
}
```",0
57,zh,personal_beliefs_and_experiences,cultural_value,小薇最近从中国来了德国当交换生。今天早上，阿飒，她的德国同班同学，邀请她去看一个电影，电影7点半开始。在欧洲，不像在中国，电影通常晚20到30分钟开始播放。小薇8点才到，不过阿飒什么也没说。,阿飒,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
58,zh,personal_beliefs_and_experiences,cultural_value,来自中国的高小峰和朋友们吃饭一般都不会走AA制，而是让其中一个人买单。有一天他带了一个美国的朋友参加饭局。饭后，美国的朋友自然而然地掏出了信用卡，准备AA。高小峰笑着拒绝了。,高小峰,B,D,A,A,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""A""
}
```",0
59,zh,personal_beliefs_and_experiences,cultural_value,来自中国的高小峰和朋友们吃饭一般都不会走AA制，而是让其中一个人买单。有一天他带了一个美国的朋友参加饭局。饭后，美国的朋友自然而然地掏出了信用卡，准备AA。高小峰笑着拒绝了。,亨利,F,F,A,B,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""B""
}
```",0
60,zh,personal_beliefs_and_experiences,cultural_value,比尔正在向他的中国朋友萧学习如何使用筷子。经过几次尝试，比尔终于成功地用筷子夹起了一把饭，吃完饭后，他将筷子直立放在饭碗里。萧立刻取出筷子，放在筷子架上。,比尔,F,F,A,A,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""A""
}
```",1
