qid,lang,coarse_category,finegrained_category,scenario,subject,emo_label,emo_answer,cause_label,cause_answer,model_response,score
1,zh,complex_emotions,emotion_transition,多瑞在尝试制作蜜糖果仁千层酥， 当她从烤箱拿出来时， 发现千层酥制作失败了，面层不酥脆，内馅也炸出到盘子上。那时，她的女儿刚回到家，看到她母亲制作的新鲜但失败了的蜜糖果仁千层酥。她尝了一口，给母亲竖起一个大拇指。,多瑞,A,F,B,B,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""B""
}
```",0
2,zh,complex_emotions,emotion_transition,西蒙是一个业余画家，他花了一个多星期画他的已故宠物的肖像。在他完成后，他退后一步，立刻发现他把他的宠物的毛发颜色画错了。就在这时，他的妻子看到了这幅画，惊呼：“这正是我记得的样子！”,西蒙,A,F,B,C,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""C""
}
```",0
3,zh,complex_emotions,emotion_transition,经过几周的努力和决心，安迪终于可以开设他的展览并展出他的画像了。虽然他邀请了所有同事，但没有人出席。正当他准备收拾离开时，他的老板出现了，指着他的画作夸奖了他的技艺。,安迪,B,B,B,A,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""A""
}
```",0
4,zh,complex_emotions,emotion_transition,艾伯特和他爸爸达成了一项协议。如果艾伯特成功毕业并进入学校的前5名，他爸爸会给他买一台新的笔记本电脑。如果艾伯特失败，那么他将一无所获。在公布名单时，艾伯特没有进入前5名，而只排名第6。第二天，他们发现前5名中的一名选手因为作弊被取消资格。,艾伯特,D,D,A,A,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""A""
}
```",1
5,zh,complex_emotions,emotion_transition,沫沫热爱跳舞，将其作为摆脱紧张生活的一种途径。今天，她的客户多次拒绝了她的工作，导致她受到了老板的训斥。到达舞蹈工作室后，她放下包，然后开始尖叫，紧接着开始跳舞。跳完舞后，沫沫闭上眼睛，在镜子前向自己点了点头。,沫沫,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
6,zh,complex_emotions,emotion_transition,在上班的路上，小安遇到了交通堵塞，这时有人开始因他开车不好而冲他大喊大叫。当他下车去面对那个人时，他才意识到那个人竟然是他的爸爸。,小安,B,D,A,A,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""A""
}
```",0
7,zh,complex_emotions,emotion_transition,我因为朋友没有邀请我参加他的生日派对而感到恼火。然后，我意识到他也在背后对其他人说我坏话。,我,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
8,zh,complex_emotions,emotion_transition,小尤兴奋地准备向团队展示他的创新想法。在会议中，他的老板对他的细节和表达不清楚进行了严厉的批评。小尤分析了老板的评论，并意识到这种严厉的反馈是他进步的必要条件。他重新阅读了自己的笔记，开始完善他的想法。,小尤,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
9,zh,complex_emotions,emotion_transition,小利是一个经常被父母忽视的少年，但他为自己完美的学业记录感到自豪。他的父母告诉他，他们将因为弟弟的棒球比赛而不参加他的颁奖典礼。他的内心感到沉重，但还是独自走上了舞台。当他看向观众席时，他看到他的父母坐在第一排，微笑着为他鼓掌。,小利,F,F,A,A,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""A""
}
```",1
10,zh,complex_emotions,emotion_transition,乔最大的爱好是拍鸟的照片。几个月来，他一直试图找到一种稀有的鸟，叫做蓝鸟。在多次尝试之后，他终于发现一只蓝鸟停在一棵树枝上，感到非常高兴。于是，他坐下来准备拍照，但就在他想拍照的时候，那只鸟飞走了。当乔站在那里盯着空树枝时，那只鸟又飞了回来。,乔,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
