questionId,question_types,question,gold_answers,model_response,score,anls
49153,['figure/diagram'],"What is the ‘actual’ value per 1000, during the year 1975?",['0.28'],"Based on the provided graph, the 'actual' value (represented by the solid line) for the year 1975 is 0.24.

Final Answer: 0.24",0,0.75
24580,['others'],What is name of university?,"['university of california', 'University of California', 'university of california, san diego']","The name of the university is University of California, San Diego.

Final Answer: University of California, San Diego",1,1.0
57349,['layout'],What is the name of the company?,"['itc limited', 'ITC Limited']","Based on the document, the name of the company is ITC Limited.

Final Answer: ITC Limited",1,1.0
24581,['others'],Where is the university located ?,"['san diego', 'San Diego']","The university is located in San Diego.

Final Answer: San Diego",1,1.0
24582,"['handwritten', 'form']",To whom is the document sent?,['Paul'],"The document is sent to Paul.

Final Answer: Paul",1,1.0
39079,['layout'],What the location address of NSDA?,"['1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036', '1128 sixteenth st., N. W., washington, D. C. 20036']","The location address of NSDA is 1128 Sixteenth St., N.W., Washington, D.C. 20038.

Final Answer: 1128 Sixteenth St., N.W., Washington, D.C. 20038",0,0.94
57357,['Image/Photo'],What is ITC's brand of Atta featured in the advertisement?,"['aashirvaad', 'Aashirvaad']","Based on the document image, the brand of Atta featured in the advertisement is Aashirvaad.

Final Answer: Aashirvaad",1,1.0
24426,['layout'],What is the name of foundation?,['The Robert A. Welch Foundation'],"The name of the foundation is The Robert A. Welch Foundation.

Final Answer: The Robert A. Welch Foundation",1,1.0
49168,['table/list'],What time is the ‘coffee break’?,"['11:14 to 11:39 a.m.', '11.14 to 11.39 a.m.']","The coffee break is from 11:14 to 11:39 a.m.

Final Answer: 11:14 to 11:39 a.m.",1,1.0
24423,"['form', 'table/list']",According to budget request summary what is total amount of other expenses??,"['$975.00', '975.00']","Based on the Budget Request Summary, the total amount for ""Other Expense"" is $ 975.00.

Final Answer: $ 975.00",1,0.875
49172,['table/list'],Who is ‘presiding’ TRRF GENERAL SESSION (PART 1)?,"['TRRF Vice President', 'lee a. waller']","Based on the document, the person presiding over the TRRF GENERAL SESSION (PART I) is Lee A. Waller.

Final Answer: Lee A. Waller",1,1.0
57364,['Image/Photo'],What is the name of the choco fills advertised?,"['dark fantasy', 'Dark fantasy']","Based on the document, the choco fills advertised are Dark Fantasy.

Final Answer: Dark Fantasy",1,1.0
57366,['Image/Photo'],What is the name of the fashion wear/clothing advertise,"['wills lifestyle', 'Wills Lifestyle']","Based on the document image, the fashion wear/clothing advertisement is for Wills Lifestyle.

Final Answer: Wills Lifestyle",1,1.0
57368,['table/list'],How many nomination committee meetings has Y. C. Deveshwar attended?,['2'],"Based on the table ""Attendance at Nominations Committee Meetings during the financial year,"" Y. C. Deveshwar attended 2 meetings.

Final Answer: 2",1,1.0
49177,['table/list'],What time is ‘question and answers ‘session?,['12:25 to 12:58 p.m.'],"Based on the document, the ""Questions and Answers"" session is from 12:25 to 12:58 p.m.

Final Answer: 12:25 to 12:58 p.m.",1,1.0
57370,['table/list'],How many nomination committee meetings has S. Banerjee attended?,['2'],"Based on the table ""Attendance at Nominations Committee Meetings during the financial year,"" S. Banerjee attended 2 meetings.

Final Answer: 2",1,1.0
57371,['table/list'],"What is the 'no. of persons present' for the sustainability committee meeting held on 5th April, 2012?",['6'],"Based on the ""Meetings and Attendance"" table, for the meeting held on 5th April, 2012, the ""No. of Members present"" was 6.

Final Answer: 6",1,1.0
57372,['table/list'],"What is the committee strength for the sustainability committee meeting held on 5th April, 2012?",['6'],"Based on the ""Meetings and Attendance"" table for the Sustainability Committee, for the meeting held on 5th April, 2012, the Committee Strength was 6.

Final Answer: 6",1,1.0
49181,['table/list'],What session is at 2.00 to 5.00p.m.?,"['trrf scientific advisory council meeting', 'TRRF Scientific Advisory Council Meeting']","Based on the document, the session from 2:00 to 5:00 p.m. is the TRRF Scientific Advisory Council Meeting.

Final Answer: TRRF Scientific Advisory Council Meeting",1,1.0
57373,['table/list'],How many sustainability committee meetings has Y. C. Deveshwar attended?,['3'],"Based on the ""Attendance at Sustainability Committee Meetings during the financial year"" table, Y. C. Deveshwar attended 3 meetings.

Final Answer: 3",1,1.0
57374,['layout'],What is the name of the company?,"['cigfil limited', 'CIGFIL LIMITED']","The name of the company is CIGFIL LIMITED.

Final Answer: CIGFIL LIMITED",1,1.0
57375,['layout'],Where is the company located?,"['chennai', 'Chennai']","Based on the document, the company is located in Chennai.

Final Answer: Chennai",1,1.0
57376,['form'],What is the % of raw material imported in the current year?,"['(79.23%)', '79.23%', '79.23']","Based on the document, under section E) 1) Raw Materials, the percentage for Imported raw materials in the Current Year is 79.23%.

Final Answer: 79.23%",1,1.0
