qid,lang,coarse_category,finegrained_category,scenario,subject,emo_label,emo_answer,cause_label,cause_answer,model_response,score
101,en,personal_beliefs_and_experiences,persona,"Sam, a 45-year-old introverted scientist, has been struggling for years with social anxiety. Today, he is asked to give a speech in front of numerous respected peers about his recent cutting-edge discovery. But, his wife was the only person who showed up to the speech.",Sam,F,F,A,A,"```json
{
""answer_q1"": ""F"",
""answer_q2"": ""A""
}
```",1
102,en,personal_beliefs_and_experiences,persona,"Sara has always been very superstitious. Yesterday, despite loving her job, She decided to quit as her office shifted to the 13th floor of her building.",Sara,E,E,D,D,"```json
{
""answer_q1"": ""E"",
""answer_q2"": ""D""
}
```",1
103,en,personal_beliefs_and_experiences,persona,"Jacob is very organized and likes to schedule events in his Calender. Originally, he and his girlfriend, Stephanie, were planning on a date this afternoon, so he scheduled his whole day around it. At noon, Stephanie messaged him that since She didn't have anything for the day, her friends invited her to a fabulous birthday party that she will go to.",Jacob,A,A,A,B,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""B""
}
```",0
104,en,personal_beliefs_and_experiences,persona,"Jacob is very organized and likes to schedule events in his Calender. Originally, he and his girlfriend, Stephanie, were planning on a date this afternoon, so he scheduled his whole day around it. At noon, Stephanie messaged him that since She didn't have anything for the day, her friends invited her to a fabulous birthday party that she will go to.",Stephanie,A,A,B,B,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""B""
}
```",1
105,en,personal_beliefs_and_experiences,persona,"Catherine, a young aspiring musician, had difficulty finding her voice and often mimicked the style of popular singers. However, she hates copying others and wants to be original. One day, during a live performance, she hit a high note perfectly, just like her favorite artist would, and the crowd clapped and cheered for her. Upon hearing the crowd's cheers, Catherine's eyes welled up with tears.",Catherine,A,B,D,D,"```json
{""answer_q1"": ""B"", ""answer_q2"": ""D""}
```",0
106,en,emotional_cues,vocal_cues,"Greg was raised in a conservative family. Therefore, Greg did not have much freedom in selecting jobs and applied for a job that could satisfy his family's requirements but not his own. When the decision letter came out, he was rejected by the company and they wished him the best of luck. He sighed.",Greg,F,F,C,C,"```json
{
""answer_q1"": ""F"",
""answer_q2"": ""C""
}
```",1
107,en,emotional_cues,vocal_cues,"Professor Adams had instructed John to complete a physics experiment. John, who isn't good at science, tried hard to focus on the experiment. After hours of work, when John completed the experiment, he found out that his result was the expected one. He sighed and called Professor Adams to share his results.",John,F,F,B,B,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""B""
}
```",1
108,en,emotional_cues,vocal_cues,"Professor Adams had instructed John to complete a physics experiment. John, who isn't good at science, tried hard to focus on the experiment. After hours of work, when John completed the experiment, he found out that his result was the expected one. He sighed and called Professor Adams to share his results.",Professor Adams,A,D,B,B,"```json
{""answer_q1"": ""D"", ""answer_q2"": ""B""}
```",0
109,en,emotional_cues,vocal_cues,"Jenny was dreading going on a blind date that her friend Lauren had set up for her. She didn't know anything about the guy and was worried it would be awkward. When Jenny arrived at the restaurant, she was pleasantly surprised to see an attractive man waiting for her. As they started talking over dinner, Jenny realized they had a lot in common, and she really enjoyed the conversation. At the end of the night, he asked if he could see her again. Jenny sighed and said she would love to.",Jenny,B,B,A,A,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""A""
}
```",1
110,en,emotional_cues,vocal_cues,"Irene wanted to skip class, so she sniffled and groaned in pain in front of the teacher. The teacher excused her from the class and asked her to go to the infirmary.",Irene,A,A,C,C,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""C""
}
```",1
111,en,emotional_cues,vocal_cues,"While being best friends, Alex and Charlie support different soccer teams. So, when it was time for their favorite teams to play against each other, they gathered in a bar to watch the match. Alex's team was dominant during the whole game and was winning until the last minute, when Charlie's team scored a sudden goal to win the match. At this moment, both Alex and Charlie started to shout.",Alex,D,D,A,A,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""A""
}
```",1
112,en,emotional_cues,vocal_cues,"While being best friends, Alex and Charlie support different soccer teams. So, when it was time for their favorite teams to play against each other, they gathered in a bar to watch the match. Alex's team was dominant during the whole game and was winning until the last minute, when Charlie's team scored a sudden goal to win the match. At this moment, both Alex and Charlie started to shout.",Charlie,E,E,A,A,"```json
{
""answer_q1"": ""E"",
""answer_q2"": ""A""
}
```",1
113,en,emotional_cues,vocal_cues,"Analia had worked really hard on her comedy sketch and performed her standup last night in front of many people. Before her turn, she was very nervous to get on the stage. Once she started to tell some jokes, you could hear the audience crying from two blocks away.",Analia,D,D,C,C,"```json
{
""answer_q1"": ""D"",
""answer_q2"": ""C""
}
```",1
114,en,emotional_cues,vocal_cues,"While standing in the cold, Natalie, who was under-dressed, went to an outdoor coffee shop to buy a cup of hot cocoa, which she craved deeply. Her voice was trembling when she was ordering and sighed as she took the first sip.",Natalie,C,C,C,C,"```json
{
""answer_q1"": ""C"",
""answer_q2"": ""C""
}
```",1
115,en,emotional_cues,vocal_cues,"Arnold has spent the last week working on a bug in his program. His boss has been pressuring him to fix it, but he has no idea what part of the code is wrong. So, he tried to explain his code to his coworker, and during his explanation, he paused and gasped loudly.",Arnold,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
116,en,emotional_cues,vocal_cues,"Mark was fiddling with his guitar before his first public show. As soon as he stepped on the stage, he froze, seeing the large crowd. After taking a deep breath, he started with his favorite song. His voice was initially trembling, but when the crowd erupted in applause, he couldn't help but laugh.",Mark,A,A,C,C,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""C""
}
```",1
117,en,emotional_cues,vocal_cues,"Phoebe's business idea had been turned down by many investors. She was on the verge of breaking down and giving up when she received an email containing an offer from a venture capitalist known for investing in ambitious startups. Phoebe re-read the email a couple of times before responding. ""I knew it"", she said with a raspy, trembling voice.",Phoebe,A,B,B,B,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""B""
}
```",0
118,en,emotional_cues,vocal_cues,"Aiden had a fight about a movie with his best friend. She kept saying ""You're so right and I'm so wrong!"" everytime Aiden gave a valid point.",Aiden,A,A,C,C,"```json
{""answer_q1"": ""A"", ""answer_q2"": ""C""}
```",1
