qid,lang,category,question_type,scenario,subject,label,answer,model_response,score
1,zh,Personal-Others,Action,萨拉发现自己的弟弟在学校受欺负了，但他恳求她不要告诉爸妈。,萨拉,D,D,"```json
{
    ""answer"": ""D""
}
```",1
2,zh,Personal-Others,Action,娜塔的朋友最近因为一次糟糕的分手崩溃了，整天不停地给娜塔打电话倾诉感情，搞的娜塔不堪重负。,娜塔,C,C,"```json
{
    ""answer"": ""C""
}
```",1
3,zh,Personal-Others,Action,詹姆斯的好友最近行为冷淡，对人不理不睬。詹姆斯问他发生了什么事，他含糊其辞地说只是在处理一些“个人问题”。,詹姆斯,C,C,"```json
{
    ""answer"": ""C""
}
```",1
4,zh,Personal-Others,Action,迈克十几岁的儿子昨天被抓到在商店偷视频游戏。,麦克,B,B,"```json
{
    ""answer"": ""B""
}
```",1
5,zh,Personal-Others,Action,萨曼莎十几岁的女儿最近开始和一群她觉得会影响不好的朋友混在一起。,萨曼莎,C,C,"```json
{
    ""answer"": ""C""
}
```",1
6,zh,Personal-Others,Action,罗伯有一件旧的红色t恤，他想扔掉。一天，他的朋友安德鲁向他借这件t恤参加一个聚会。第二天，安德鲁来找罗伯，很抱歉地告诉他，他把t恤弄丢了。,罗伯,C,C,"```json
{
    ""answer"": ""C""
}
```",1
7,zh,Personal-Others,Action,尼克的弟弟因为成绩不好失去了奖学金，现在他不知道该如何继续他的学业了。,尼克,A,C,"```json
{
    ""answer"": ""C""
}
```",0
8,zh,Personal-Others,Action,在阿德里安下班回家的路上，他被堵在了路上，这时一个人开始对他大喊大叫，说他开车不好。当他从车里出来面对那个人时，他意识到那是他的父亲。,阿德里安,C,A,"```json
{
    ""answer"": ""A""
}
```",0
9,zh,Personal-Others,Action,丽吉娜最好的朋友最近和她长期的伴侣分手了，并在半夜给丽吉娜发短信，表达她的孤独感。,丽吉娜,C,C,"```json
{
    ""answer"": ""C""
}
```",1
10,zh,Personal-Others,Action,帕特里夏最好的朋友和她分享，她觉得自己在和男友的关系中感到困顿，因为他们不断地吵架。,帕特里夏,D,D,"```json
{
    ""answer"": ""D""
}
```",1
11,zh,Personal-Others,Action,萨拉最好的朋友向她吐露自己正在经历财务困难；她羞于求助，更愿意私下解决。,萨拉,B,A,"```json
{
    ""answer"": ""A""
}
```",0
12,zh,Personal-Others,Action,我的朋友对我撒谎，他说他负责的那部分小组项目已经完成了。,我,C,C,"```json
{
    ""answer"": ""C""
}
```",1
13,zh,Personal-Others,Action,安德烈搬离了他的朋友和家人所在的城市。他发现他的朋友们并不像他想象的那样与他努力保持联系。,安德烈,B,B,"```json
{
    ""answer"": ""B""
}
```",1
14,zh,Personal-Others,Action,卡特琳娜花了很长时间才开始为家庭电影之夜放映一部电影。 她妹妹说：“你个白痴，放电影有多难？” 卡特琳娜与她的姐姐和家人关系非常密切。,卡特琳娜,B,B,"```json
{
    ""answer"": ""B""
}
```",1
15,zh,Personal-Others,Action,辨治郎的父母已经 80 多岁了，独自住在州际公路上的一所房子里。 他担心他们需要帮助，但每当他提起这个话题时，他们都会愤怒地否认。,辨治郎,A,A,"```json
{
    ""answer"": ""A""
}
```",1
16,zh,Personal-Others,Action,安迪接了电话，听说她的近亲病得很重，现在在医院里。,安迪,B,B,"```json
{
    ""answer"": ""B""
}
```",1
17,zh,Personal-Others,Action,埃文的妹妹在他家过夜的时候，深夜做了饭，厨房里留下了一团糟，埃文早餐的时候发现了。,埃文,B,B,"```json
{
    ""answer"": ""B""
}
```",1
18,zh,Personal-Others,Action,格洛丽亚的室友们从来不在生活必需品快用完的时候买，总是指望格洛丽亚去买，这让她很不爽。他们彼此相当了解，但还没有讨论过财务问题。,格洛丽亚,B,B,"```json
{
    ""answer"": ""B""
}
```",1
19,zh,Personal-Others,Action,贝拉在国外时得知她的父亲因为近年来的疾病去世了。,贝拉,A,A,"```json
{
    ""answer"": ""A""
}
```",1
20,zh,Personal-Others,Action,米娜和她嫂子平时相处得很好，嫂子定期为她照看孩子并收一点钱。最近，她嫂子在帮忙清理蜘蛛网，并评论说乱七八糟的，这让米娜觉得很没礼貌。,米娜,A,A,"```json
{
    ""answer"": ""A""
}
```",1
21,zh,Personal-Others,Action,杰瑞曾在同一行业做过几份短期工作，但现在他对在其他行业找一份工作感到兴奋。他的父亲随口说他最多做六个月。,杰瑞,B,B,"```json
{
    ""answer"": ""B""
}
```",1
22,zh,Personal-Others,Action,米歇尔的朋友达拉要搬到海外和她的伴侣住在一起。他们是多年的好朋友，并且达拉不太可能再回来了。,米歇尔,D,D,"```json
{
    ""answer"": ""D""
}
```",1
23,zh,Personal-Others,Action,莎妮娅已经好几个月没有和她的侄子说话了，而在他小的时候，他们非常亲密。现在她打电话给他，但他说他只能说五分钟。,莎妮娅,C,B,"```json
{
    ""answer"": ""B""
}
```",0
24,zh,Personal-Others,Action,安德鲁最好的朋友向他坦白，他对自己的妻子不忠，不知道下一步该怎么办。,安德鲁,C,C,"```json
{
    ""answer"": ""C""
}
```",1
25,zh,Personal-Others,Action,安妮塔最好的朋友玛雅最近因为分手而情绪低落，很难集中精力完成即将到来的大学作业。,安妮塔,D,D,"```json
{
    ""answer"": ""D""
}
```",1
26,zh,Personal-Others,Response,昨天，她和她的妹妹在吃晚餐时，接到了医院的电话。医生告诉她他们找到了可能的解决方案。艾琳的手机掉在地上，她抽泣着捂住了脸。看到这一幕，她的妹妹立刻走到她身边。,琳琳的姐姐,B,C,"```json
{
    ""answer"": ""C""
}
```",0
