qid,lang,category,question_type,scenario,subject,label,answer,model_response,score
101,zh,Personal-Self,Action,克莱顿在海外待了很久，回国探望家人。然而变化太大了，克莱顿感觉自己像外人。,克莱顿,B,B,"```json
{
    ""answer"": ""B""
}
```",1
102,zh,Personal-Self,Action,丹尼尔获得了一个位于另一个国家的公司的很有声望的职位。他认为这个机会值得搬家前往。,丹尼尔,B,C,"```json
{
    ""answer"": ""C""
}
```",0
103,zh,Personal-Self,Action,多利安需要立即进行一项手术，他对这个过程感到非常害怕。他听说这个手术很痛苦，成功率也不高。,多利安,D,D,"```json
{
    ""answer"": ""D""
}
```",1
104,zh,Personal-Self,Action,朱莉很久没有见过凯文了，她非常期待他们的周末旅游。然而，凯文变了很多，朱莉发现他不再是一个有趣的旅伴了。,朱莉,C,D,"```json
{
    ""answer"": ""D""
}
```",0
105,zh,Personal-Self,Action,雅各布即将举办一个大型家庭聚会来庆祝自己搬进新家。他希望当天的活动能顺利进行，对此有些紧张。,雅各布,C,C,"```json
{
    ""answer"": ""C""
}
```",1
106,zh,Personal-Self,Action,阿兰娜已经在公司担任高级职位几个月了。现在规定只有长期员工才能担任这些角色，而阿兰娜待的时间还不够久，不满足这一资格。,阿兰娜,D,D,"```json
{
    ""answer"": ""D""
}
```",1
107,zh,Personal-Self,Action,安娜因为即将到来的期末考试感到焦虑。她担心如果告诉父母，他们可能会过度反应，给她带来更多压力。,安娜,B,C,"```json
{
    ""answer"": ""C""
}
```",0
108,zh,Personal-Self,Action,考虑到新工作和男友异地，费莉西蒂在两者中选择了工作，然而这使她感到伤心并且使她在新工作上分心。,费莉西蒂,B,B,"```json
{
    ""answer"": ""B""
}
```",1
109,zh,Personal-Self,Action,近期，艾米一直在与她的心理健康问题斗争，自己无法应对，并希望尝试心理治疗，但她自己负担不起。她想向她的朋友们借钱，但又担心会被他们评判。,艾米,D,C,"```json
{
    ""answer"": ""C""
}
```",0
110,zh,Personal-Self,Action,莉莉与她的男友已经进行了五年的异地恋。最近，她对另一个人产生了感情。,莉莉,A,A,"```json
{
    ""answer"": ""A""
}
```",1
111,zh,Personal-Self,Action,珍妮的姐姐一直向她借钱来偿还她的账单。尽管珍妮想帮忙，但她自己也在为付自己的账单而挣扎。,珍妮,B,D,"```json
{
    ""answer"": ""D""
}
```",0
112,zh,Personal-Self,Action,杰米一直在考虑和他的女朋友分手，因为她不再对他有吸引力。但他也觉得自己找不到另一个伴侣，分手后会感到孤独。,杰米,D,C,"```json
{
    ""answer"": ""C""
}
```",0
113,zh,Personal-Self,Action,杰克逊已经和他的女朋友约会两年了，他正在考虑求婚，但由于他的父母通常不赞同他的决定，所以他犹豫不决。,杰克逊,C,C,"```json
{
    ""answer"": ""C""
}
```",1
114,zh,Personal-Self,Action,佩里最近发现自己患有一种不可治愈的疾病，长期来看会让他身体衰弱。他正在挣扎着如何把这个消息告诉他的妻子。,佩里,D,D,"```json
{
    ""answer"": ""D""
}
```",1
115,zh,Personal-Self,Action,经过长时间的单身生活，内德开始和自己喜欢的人约会了，但现在他害怕变得脆弱。,内德,C,C,"```json
{
    ""answer"": ""C""
}
```",1
116,zh,Personal-Self,Action,佐伊的好朋友开始和一个人约会，佐伊知道这个人在过去的关系中曾有过出轨行为。她的朋友觉得自己找到了灵魂伴侣。,佐伊,C,C,"```json
{
    ""answer"": ""C""
}
```",1
117,zh,Personal-Self,Action,朱莉安娜距离她的婚礼还有一个月。尽管这是她从小就梦寐以求的事情，但她觉得准备工作让她不堪重负，并对婚礼产生了疑虑。,朱莉安娜,C,C,"```json
{
    ""answer"": ""C""
}
```",1
118,zh,Personal-Self,Action,劳拉最近读完了一本书，意识到自己的政治观点与亲密的朋友有所不同。她担心如果表达自己有争议的观点，可能会引起冲突。,劳拉,D,D,"```json
{
    ""answer"": ""D""
}
```",1
119,zh,Personal-Self,Action,伊森已经想要向他的女朋友求婚好几个月了，但由于全球危机导致的当前不稳定的经济状况，他感到很不确定。,伊桑,B,B,"```json
{
    ""answer"": ""B""
}
```",1
120,zh,Personal-Self,Action,利亚和她最好的朋友大吵了一架，现在已经两周没交谈了。她非常想念她的朋友，但同时也因为争吵中对方说的话感到受伤。,利亚,C,C,"```json
{
    ""answer"": ""C""
}
```",1
121,zh,Personal-Self,Action,梅丽莎经常为了一些小事和男朋友争吵，她觉得这让她在精神上精疲力竭。,梅丽莎,B,B,"```json
{
    ""answer"": ""B""
}
```",1
122,zh,Personal-Self,Action,格雷格刚刚发现他的女朋友劈腿和他最好的朋友在一起。他心碎了，不知道该怎么办。,格雷格,D,D,"```json
{
    ""answer"": ""D""
}
```",1
123,zh,Personal-Self,Action,玛丽亚已经谈了一年异地恋了。她真的很爱她的伴侣，但因为距离而感到孤独和疏远。,玛丽亚,B,B,"```json
{
    ""answer"": ""B""
}
```",1
124,zh,Personal-Self,Action,安娜丽亚被确诊患有慢性病。她担心如果她告诉男朋友这件事他可能会离开她，因为他可能不想处理情绪带来的负担。,安娜丽亚,C,C,"```json
{
    ""answer"": ""C""
}
```",1
125,zh,Personal-Self,Action,经历了一次非常艰难的分手后，内森正努力克服悲伤和孤独的感觉，同时还面临着严重的财务问题。他发现自己很难专注于其他任何事情。,内森,A,C,"```json
{
    ""answer"": ""C""
}
```",0
126,zh,Personal-Self,Response,安的姐姐告诉她因为不能请假，她会错过安的生日派对。,安,D,D,"```json
{
    ""answer"": ""D""
}
```",1
127,zh,Personal-Self,Response,朱莉注意到她哥哥瘦了很多。她问他，他告诉她最近有点饮食失调。,朱莉,C,C,"```json
{
    ""answer"": ""C""
}
```",1
128,zh,Personal-Self,Response,大卫的伴侣告诉他她不能参加他们计划好的音乐会了，因为她必须工作到很晚,大卫,D,D,"```json
{
    ""answer"": ""D""
}
```",1
129,zh,Personal-Self,Response,阿梅利亚感觉自从她的男友开始读博后就有些忽视她。,阿梅利亚,C,C,"```json
{
    ""answer"": ""C""
}
```",1
130,zh,Personal-Self,Response,卡洛斯的邻居打电话告诉他，卡洛斯非常喜欢的狗因为酒驾事故而去世了。,卡洛斯,A,A,"```json
{
    ""answer"": ""A""
}
```",1
131,zh,Personal-Self,Response,我发现我最好的朋友在我背后说我坏话，所以我打算下次我们出去玩的时候和他好好聊聊。,我,B,C,"```json
{
    ""answer"": ""C""
}
```",0
132,zh,Personal-Self,Response,尤利娅的丈夫告诉她，他并不喜欢她花了几个小时准备的晚餐。,尤利娅,B,A,"```json
{
    ""answer"": ""A""
}
```",0
133,zh,Personal-Self,Response,塞缪尔的爸爸告诉他，他对塞缪尔决定辞职并追求音乐事业的选择感到失望。,塞缪尔,B,B,"```json
{
    ""answer"": ""B""
}
```",1
134,zh,Personal-Self,Response,迈克尔的老朋友向他承认，是他不小心刮伤了迈克尔的新车。,迈克尔,B,B,"```json
{
    ""answer"": ""B""
}
```",1
135,zh,Personal-Self,Response,在他们共进晚餐时，查理的好朋友指出了他以前从未意识到的一个负面性格特质。,查理,D,D,"```json
{
    ""answer"": ""D""
}
```",1
136,zh,Personal-Self,Response,彼得的好朋友开玩笑地告诉他，他是他们这群朋友老是在电子游戏中输的原因。,彼得,D,A,"```json
{
    ""answer"": ""A""
}
```",0
137,zh,Personal-Self,Response,我的双胞胎兄弟告诉我，他打算移居到另一个国家去追求他的梦想工作。,我,C,C,"```json
{
    ""answer"": ""C""
}
```",1
