qid,lang,category,question_type,scenario,subject,label,answer,model_response,score
151,zh,Social-Self,Action,玛蒂获得了一个竞争激烈的合同，但必须飞往当地。她有飞行恐惧症。,玛蒂,D,D,"```json
{
    ""answer"": ""D""
}
```",1
152,zh,Social-Self,Action,曼努在剩几年就退休的时候发现，他的职位将不复存在，虽然他还能在公司保有一份声望不如以前的职位。,曼努,A,B,"```json
{
    ""answer"": ""B""
}
```",0
153,zh,Social-Self,Action,瑞亚辞职做一个全职妈妈了。虽然她喜欢这样，但她还是怀念公司和同事的陪伴。,瑞亚,C,C,"```json
{
    ""answer"": ""C""
}
```",1
154,zh,Social-Self,Action,皮特有着同事没有的特殊技能，他觉得自己的工作量因此变得很大。,皮特,A,A,"```json
{
    ""answer"": ""A""
}
```",1
155,zh,Social-Self,Action,苏比找了一个新工作，他谁也不认识，感觉也没有特别友好的人。,苏比,C,C,"```json
{
    ""answer"": ""C""
}
```",1
156,zh,Social-Self,Action,达拉将要向一些可能不懂的前辈展示她的工作，她对此非常紧张，因为他们对她的领域不甚了解。,达拉,C,A,"```json
{
    ""answer"": ""A""
}
```",0
157,zh,Social-Self,Action,文森特全职学习后，无法再像以前那样投入时间和金钱进行他擅长的水球训练。尽管他喜欢全职学习，但他还是怀念训练。,文森特,A,A,"```json
{
    ""answer"": ""A""
}
```",1
158,zh,Social-Self,Action,格雷格几年后重新回到大学。他被一群看起来对自己的能力非常自信的年轻学生所包围，他不确定自己是否能与他们竞争。,格雷格,B,B,"```json
{
    ""answer"": ""B""
}
```",1
159,zh,Social-Self,Action,克里斯在表演一个场景时感到紧张，因为观众中有很多非常有经验的演员，而他没有足够的时间来做更多准备。,克里斯,C,B,"```json
{
    ""answer"": ""B""
}
```",0
160,zh,Social-Self,Action,马克相当确定他的公司正在走下坡路，他的工作受到威胁。这是一家大公司，但官方没有发表任何声明。,马克,C,C,"```json
{
    ""answer"": ""C""
}
```",1
161,zh,Social-Self,Action,玛洛里从一家小公司转到一家非常大的公司，那里几乎没有个人接触，也没有太多的聚会，她很怀念这些。,玛洛里,B,B,"```json
{
    ""answer"": ""B""
}
```",1
162,zh,Social-Self,Action,伊森因为大学课程的压力以及兼职工作，感到压力过大和难以承受。他喜欢这两件事情，但发现很难平衡这些时间。,伊森,C,C,"```json
{
    ""answer"": ""C""
}
```",1
163,zh,Social-Self,Action,艾米丽在当地社区经常被忽视，不被看作领导角色，因为她被认为过于安静和保守。她真的希望能在这个环境中贡献自己的力量，并提升自己的领导能力。,艾米丽,D,D,"```json
{
    ""answer"": ""D""
}
```",1
164,zh,Social-Self,Action,玛蒂尔达刚开始了一份新工作，正努力融入其中，但她发现她的同事们经常在办公室里对其他人进行负面的闲言碎语。,玛蒂尔达,B,D,"```json
{
    ""answer"": ""D""
}
```",0
165,zh,Social-Self,Action,亚历克斯是一个项目经理，由于沟通问题，他的团队在工作上落后了。,亚历克斯,A,C,"```json
{
    ""answer"": ""C""
}
```",0
166,zh,Social-Self,Action,由于在这个领域的专业知识，娜奥米被指派领导一个重要的工作项目。然而，这个项目与她的经验不符，她不确定该如何处理。,娜奥米,B,C,"```json
{
    ""answer"": ""C""
}
```",0
167,zh,Social-Self,Action,汤姆，一个博士研究生，已经被他的导师分配了一项研究工作。虽然他的实验室同伴们似乎觉得这项任务很容易，但他却觉得很有挑战性，无法完全理解。,汤姆,C,B,"```json
{
    ""answer"": ""B""
}
```",0
168,zh,Social-Self,Action,我最近收到了老板发的一封工作邮件，批评了我投入了大量努力的项目。我觉得这种批评不公平，也没有建设性。,我,B,B,"```json
{
    ""answer"": ""B""
}
```",1
169,zh,Social-Self,Action,伊莎贝拉发现，和她同时开始工作的同事，做着同样的工作，却拿着更高的薪水。,伊莎贝拉,D,D,"```json
{
    ""answer"": ""D""
}
```",1
170,zh,Social-Self,Action,亚历克被要求在即将召开的会议上发表演讲。他以前从未在这么多听众面前讲过话。,亚历克,B,B,"```json
{
    ""answer"": ""B""
}
```",1
171,zh,Social-Self,Action,帕特尔刚被提升为办公室经理。他必须监督以前与他势均力敌的亲密朋友，他不确定如何设定界限以及这会如何影响他们的关系。,帕特尔,D,D,"```json
{
    ""answer"": ""D""
}
```",1
172,zh,Social-Self,Action,康纳在他的大学里参加了一个小组项目，但他发现很难与一个总是否定他的想法的队友合作。,康纳,C,C,"```json
{
    ""answer"": ""C""
}
```",1
173,zh,Social-Self,Action,杰西马上就要毕业了，过去几周一直在找工作。她不想继续在学术界工作，但由于就业市场竞争激烈，她发现很难找到工作。,杰西,D,D,"```json
{
    ""answer"": ""D""
}
```",1
174,zh,Social-Self,Action,鲁比刚刚在一家优秀的公司得到了她梦寐以求的工作，但这份工作在另一个城市，搬家去那里意味着她要离开她的家人和好朋友。,鲁比,C,D,"```json
{
    ""answer"": ""D""
}
```",0
175,zh,Social-Self,Action,这是保罗第一次参加会议，他和一些实验室同伴一起来的。他想建立新的联系，但由于他内向的性格，这让他感到有些困难。,帕布罗,C,C,"```json
{
    ""answer"": ""C""
}
```",1
176,zh,Social-Self,Response,萨娜的老板告诉她她没有得到她非常努力工作想要得到的晋升。,萨娜,B,D,"```json
{
    ""answer"": ""D""
}
```",0
177,zh,Social-Self,Response,在一次重要的公司会议上，埃德的同事在整个团队面前指出了他在报告中犯的一次错误。,埃德,B,C,"```json
{
    ""answer"": ""C""
}
```",0
178,zh,Social-Self,Response,亚当和我建立了一个健康的工作关系，并且总是相互尊重。但昨天他没有明显理由地冲我大发脾气。,我,B,B,"```json
{
    ""answer"": ""B""
}
```",1
179,zh,Social-Self,Response,我在一次考试中拿了低分，而所有得高分的同学都想讨论我们的表现,我,D,B,"```json
{
    ""answer"": ""B""
}
```",0
180,zh,Social-Self,Response,凯蒂的学习搭档在最后一分钟告诉她，他们不得不取消学习计划，这使她对明天的测试措手不及。,凯蒂,C,C,"```json
{
    ""answer"": ""C""
}
```",1
181,zh,Social-Self,Response,雅各布的同学刚宣布她在最近的考试中获得了最高分，而雅各布虽然学习很努力，成绩却不是很好。,雅各布,B,B,"```json
{
    ""answer"": ""B""
}
```",1
182,zh,Social-Self,Response,我的楼下邻居刚刚过来敲了我的门，告诉我我的音乐声音太大，影响了她的学习时间。,我,B,B,"```json
{
    ""answer"": ""B""
}
```",1
183,zh,Social-Self,Response,我的同事刚刚告诉我，她被提升到了我非常想要的职位。,我,D,D,"```json
{
    ""answer"": ""D""
}
```",1
184,zh,Social-Self,Response,亚当最近发现他非常期待的工作项目提案被拒绝了。,亚当,C,C,"```json
{
    ""answer"": ""C""
}
```",1
185,zh,Social-Self,Response,在律师事务所工作的艾玛，今天收到了来自客户的负面反馈，称她的工作杂乱无章，而她的策略令人困惑。但是检查后艾玛发现，客户的很多评价都逻辑矛盾。,艾玛,C,C,"```json
{
    ""answer"": ""C""
}
```",1
186,zh,Social-Self,Response,我的工作团队负责人刚刚通知我，我需要在这个周末工作，但是我已经做了我很期待的计划。,我,C,C,"```json
{
    ""answer"": ""C""
}
```",1
187,zh,Social-Self,Response,我邻居告诉我，她觉得得自己作为一个母亲很失败，因为她总是很累，没有太多时间和孩子们玩。,我,A,A,"```json
{
    ""answer"": ""A""
}
```",1
188,zh,Social-Self,Response,丹尼的主管刚刚给了他大量的工作，而截止日期非常紧迫。,丹尼,D,B,"```json
{
    ""answer"": ""B""
}
```",0
189,zh,Social-Self,Response,我的邻居喜欢每周组织小型聚会。但因为我近来日程很满，一直没能参加。今天，她因此找上门来问我了。,我,C,C,"```json
{
    ""answer"": ""C""
}
```",1
190,zh,Social-Self,Response,格兰特通常和同学一起踢足球玩乐。上周，他们决定参加一个比赛，但在比赛中，每当他犯错，他的同学就对他大喊大叫。,格兰特,D,D,"```json
{
    ""answer"": ""D""
}
```",1
191,zh,Social-Self,Response,在一次讨论我们项目进展的会议上，我的同事当着团队的面指责我工作不够努力。,我,A,D,"```json
{
    ""answer"": ""D""
}
```",0
192,zh,Social-Self,Response,迪娅在课堂上总是感到尴尬，总是保持沉默。最近，她的老师告诉她，她的课堂参与成绩很低，需要更积极一些才能及格。,迪娅,B,B,"```json
{
    ""answer"": ""B""
}
```",1
193,zh,Social-Self,Response,昨天，我们向主管提交了我们的项目报告。我发现，一个实验室同伴在他的报告中因为一个他认为是我犯的错误而责骂我，但实际上是他的错。,我,C,C,"```json
{
    ""answer"": ""C""
}
```",1
194,zh,Social-Self,Response,鲍勃的团队成员在他们小组项目的最后一个问答环节中主导了大部分对话，并且打断了鲍勃，这让鲍勃的贡献和对项目的理解显得微不足道。,鲍勃,B,B,"```json
{
    ""answer"": ""B""
}
```",1
195,zh,Social-Self,Response,简的邻居在社区里散布关于她的假消息，这严重影响了她的名誉。,简,D,D,"```json
{
    ""answer"": ""D""
}
```",1
196,zh,Social-Self,Response,凯伦正在工作，经理把她叫到办公室。他说公司下周将减少她的工作时间，但她需要额外的钱。,凯伦,C,B,"```json
{
    ""answer"": ""B""
}
```",0
197,zh,Social-Self,Response,项目会议结束后，助教把伊恩单独拉到一边私下谈话。她对他的演讲提供了一些反馈，但这些反馈既不实用也不具建设性。,伊恩,A,A,"```json
{
    ""answer"": ""A""
}
```",1
198,zh,Social-Self,Response,弗兰克和他的团队今天做了提案报告。而老师没有任何评论，助教给了他们一些反馈。这不是建设性的反馈，他们觉得没有帮助，因为感觉他没有理解他们的报告。,弗兰克,A,A,"```json
{
    ""answer"": ""A""
}
```",1
199,zh,Social-Self,Response,凯尔和他的实验室同伴加里一起练习他的项目计划时，遭到了严厉的批评。然而，在主管在场的会议上，加里开始对他的计划给予积极的反馈。,凯尔,C,B,"```json
{
    ""answer"": ""B""
}
```",0
200,zh,Social-Self,Response,马特决定参加黑客马拉松。然而，当他们的团队项目开始时，他却忙于其他项目，无法真正为项目做出贡献。,马特,B,A,"```json
{
    ""answer"": ""A""
}
```",0
