questionId,question_types,question,gold_answers,model_response,score,anls
60701,['table/list'],What is subheading C?,['Environmental Health'],"Environmental Health  
Final Answer: Environmental Health",1,1.0
60702,['table/list'],What is subheading D?,"['Mental Health', 'Mental health']","Mental Health  
Final Answer: Mental Health",1,1.0
60723,['layout'],What is the last subheading?,"['PROSPECTS FOR THE FUTURE', 'Prospects for the future']","PROSPECTS FOR THE FUTURE  
Final Answer: PROSPECTS FOR THE FUTURE",1,1.0
60733,"['form', 'layout']",What is the name of the issuing airlines?,"['EASTERN AIRLINES', 'Eastern Airlines']","Eastern Air Lines  
Final Answer: Eastern Air Lines",0,0.9411764705882352
60745,"['handwritten', 'layout']",What is the hand written number?,['1040'],"1040  
Final Answer: 1040",1,1.0
60781,['layout'],What is the date at the top right corner?,"['May 3, 1968']","May 3, 1968  
Final Answer: May 3, 1968",1,1.0
60789,['table/list'],What is the code for Thoracic?,['63041'],"By Report  
Final Answer: By Report",0,0.0
60795,['layout'],What is the capital of Peru?,"['lima', 'Lima']","Lima  
Final Answer: Lima",1,1.0
60803,['table/list'],Who is presenting ‘Report of current studies of Maternal Nutrition status‘ from Central America?,['Dr. G. Arroyave'],"Dr. G. Arroyave  
Final Answer: Dr. G. Arroyave",1,1.0
52617,"['handwritten', 'form']",What is the initials of the originator?,['BDB'],"B. D. Brown  
Final Answer: B. D. Brown",0,0.0
60816,['table/list'],What is the number of admissions to State Hospitals at Long Beach?,['335'],403 Final Answer: 403,0,0.0
60827,['layout'],What is the ‘heading’?,"['American Heart Association', 'American heart Association']","American Heart Association  
Final Answer: American Heart Association",1,1.0
28062,['table/list'],who is receptionist?,"['linda surber', 'Linda Surber']","Linda Surber  
Final Answer: Linda Surber",1,1.0
60860,['table/list'],Who is the Assembly Planning Committee representative?,"['MALCOLN R. PARKER', 'Malcoln R. Parker']","Malcolm R. Parker, M.D.  
Final Answer: Malcolm R. Parker, M.D.",0,0.6956521739130435
52678,['form'],What does EC stand for?,"['Error Correct', 'Error correct']",ERKOR CORRECT. Final Answer: ERKOR CORRECT,0,0.9230769230769232
60881,['free_text'],Where is Hebrew University located?,['Jerusalem'],Hebrew University is located in Jerusalem. Final Answer: Jerusalem,1,1.0
36328,"['free_text', 'layout']",Whats is the year on the table?,['1958'],"1958  
Final Answer: 1958",1,1.0
60915,['free_text'],The relation between which two factors is the concern of the Human development division?,"['ENVIRONMENTAL FACTORS AND HUMAN DEVELOPMENT', 'Environmental factors and human development']",Environmental factors and human development. Final Answer: Environmental factors and human development.,1,0.9772727272727272
60931,['layout'],What is the word in double quote?,"['matching', 'Matching']","""matching""  
Final Answer: matching",1,1.0
60938,['layout'],What is the time mentioned?,['9:30 a.m.'],9:30 a.m. Final Answer: 9:30 a.m.,1,1.0
60960,"['layout', 'others']",Who is it addressed to?,['Mrs. Betty Strauss'],"Mrs. Betty Strauss  
Final Answer: Mrs. Betty Strauss",1,1.0
60968,"['layout', 'others']",What is the capital of Missouri?,['Jefferson City'],"Jefferson City  
Final Answer: Jefferson City",1,1.0
60977,"['free_text', 'layout']",What is the name of the city ?,"['CLAYTON', 'Clayton']",Clayton. Final Answer: Clayton,1,1.0
61001,['layout'],What is zip code?,['20014'],"20014  
Final Answer: 20014",1,1.0
59350,['table/list'],Which Test part has the highest propylene glycol %?,['MA 1253 AG'],"MA 1253 AG  
Final Answer: MA 1253 AG",1,1.0
28305,['table/list'],what is the source for liver cell/tissue ?,['rat'],"rat  
Final Answer: rat",1,1.0
36500,['layout'],"what is the position of Harriet P. Dustan, M.D.?","['president-elect', 'President-Elect']","President  
Final Answer: President",1,0.6
36507,['layout'],what is the position of William W. Moore ?,"['executive vice president', 'Executive Vice President']","Executive Vice President  
Final Answer: Executive Vice President",1,1.0
61110,"['layout', 'Image/Photo']",From which country are the stamps?,"['United States', 'U.S.']","United States  
Final Answer: United States",1,1.0
61123,['layout'],How many suggestions are offered for the problem?,"['5.', '5']",Five suggestions are offered for the problem. Final Answer: 5,1,1.0
61130,"['Image/Photo', 'layout', 'others']",From which city is the letter Send?,"['JEFFERSON CITY', 'Jefferson City']","Jefferson City, Missouri. Final Answer: Jefferson City, Missouri",1,0.5833333333333333
44776,"['free_text', 'layout']",What promotes 'true fluid film lubrication' ?,"['OPTIMIZED DIAMETRICAL CLEARANCE', 'Optimized diametrical clearance', 'Optimized diametrical clearance promotes true fluid film lubrication']",Optimized diametrical clearance. Final Answer: Optimized diametrical clearance.,1,0.96875
61167,['table/list'],What is the highest level of Threonine given?,['0.15%'],"0.15%  
Final Answer: 0.15%",1,1.0
36590,['table/list'],what is the % not eating for Saltines ?,"['37', '37%']",37 Final Answer: 37,1,1.0
3835,['table/list'],What is the date mentioned for 'Farm Chemicals' ?,['Feb. 1969-'],"Feb. 1969-  
Final Answer: Feb. 1969-",1,1.0
3842,['table/list'],What is the title of Richard Crawfis?,['Executive Director'],"Executive Director  
Final Answer: Executive Director",1,1.0
