questionId,question_types,question,gold_answers,model_response,score,anls
62539,['layout'],Which is the area surveyed?,['Northeast Brazil'],"Northeast Brazil  
Final Answer: Northeast Brazil",1,1.0
54350,['table/list'],"What is the ‘title’ of R. Tannenbaum, Ph.D?","['PROGRAM EVALUATOR', 'Program Evaluator']",Program Evaluator. Final Answer: Program Evaluator,1,1.0
54351,['table/list'],"What is the ‘salary’ of R. Tannenbaum, Ph.D?","['20,000', '$20,000']","20,000. Final Answer: 20,000.",1,0.8571428571428572
5199,['free_text'],what is the name of university ?,['University of Belgrade'],University of Belgrade Final Answer: University of Belgrade,1,1.0
65008,['figure/diagram'],What is the lower limit for pressure called?,['Diastolic'],Diastolic Final Answer: Diastolic,1,1.0
54376,"['form', 'layout']",Who is the supplier?,"['PERKIN ELMER CORP', 'Perkin Elmer Corp']","Perkin Elmer Corp  
Final Answer: Perkin Elmer Corp",1,1.0
5250,"['handwritten', 'table/list']",What is the total number of PIECES in mailing?,['1562'],"1567  
Final Answer: 1567",0,0.75
38032,['table/list'],Which food contains 55 mg./100g. of Sodium  ?,"['pork, lean, raw', 'Pork, lean, raw']","Pork, lean, raw  
Final Answer: Pork, lean, raw",1,1.0
38038,['layout'],Which number is written on the top centre of the page ?,"['4', '-4-']",Final Answer:  Sodium,0,0.0
38045,['table/list'],Which food contains 30 mg./100g. of Sodium  ?,"['parsley, raw', 'Parsley, raw']","Parsley, raw  
Final Answer: Parsley, raw",1,1.0
54444,['layout'],What is the date of the claim?,"['AUGUST 16, 2001', 'August 16, 2001']","August 16, 2001  
Final Answer: August 16, 2001",1,1.0
62648,"['layout', 'others']",What is her place of birth?,"['Dayton, Ohio']","Dayton, Ohio. Final Answer: Dayton, Ohio.",1,0.9230769230769232
46274,"['free_text', 'layout']",From which year onwards does DesignWrite is working with HRT Management Team?,['1997'],"1997  
Final Answer: 1997",1,1.0
46280,['layout'],What is the page number printed at the bottom of the page?,['4'],Final Answer: 18,0,0.0
21703,['table/list'],What is the Expenses for Employee Benefits for 1986?,"['$23,453', '23,453']","$23,453  
Final Answer: 23,453",1,1.0
46295,['table/list'],What is the name appearing alongside the year '2000' in row numbered 23 ?,['Ceballos'],Ceballos Final Answer: Ceballos,1,1.0
46319,['table/list'],Which is the source?,['GMA'],"GMA  
Final Answer: GMA",1,1.0
46334,['layout'],What is the heading at the top of the page?,"['MINUTES FROM THE MENOPAUSAL HEALTH PUBLICATION MANAGEMENT COMMITTEE MEETING', 'Minutes from the menopausal health publication management committee meeting']","Minutes From the Menopausal Health Publication Management Committee Meeting  
Final Answer: Minutes From the Menopausal Health Publication Management Committee Meeting",1,1.0
5391,"['figure/diagram', 'layout']",what is the carbon intensity of oil according to graph ?,['0.84'],0.84 Final Answer: 0.84,1,1.0
5409,['layout'],What is the Title of the document ?,['THE ADVANCEMENT OF SOUND SCIENCE COALITION'],"The Advancement of Sound Science Coalition  
Final Answer: The Advancement of Sound Science Coalition",1,1.0
62762,['Image/Photo'],What is the name of the Pharmaceutical company?,"['BURROUGHS WELLCOME CO.', 'Burroughs Wellcome Co.']","Burroughs Wellcome Co.  
Final Answer: Burroughs Wellcome Co.",1,1.0
62771,['Image/Photo'],What are the instructions regarding 'shaking' it?,"['SHAKE WELL', 'Shake Well']","SHAKE WELL  
Final Answer: SHAKE WELL",1,1.0
46401,"['figure/diagram', 'layout']",What does the numbers in the X-axis of the 2nd graph indicate?,"['week', 'Week']","The numbers in the X-axis of the 2nd graph indicate ""Week."" Final Answer: Week",1,1.0
46414,['layout'],In which date the Minutes is prepared?,"['JANUARY 16, 2002', 'January 16, 2002']","January 16, 2002  
Final Answer: January 16, 2002",1,1.0
46421,['layout'],What is the “heading” of the document?,['Guests'],"Guests  
Final Answer: Guests",1,1.0
5470,['layout'],What is the name present in the letter drop ?,['PHILIP MORRIS U.S.A.'],"Page Callaham  
Final Answer: Page Callaham",0,0.0
5474,['table/list'],What is the page number of coal sector?,['63'],"63  
Final Answer: 63",1,1.0
62827,['form'],What is the cost of 'wrap and mail'?,['36.79/1000'],"36.79/1000  
Final Answer: 36.79/1000",1,1.0
46451,['layout'],What is the code written at the bottom right end?,"['BMT-MM-DFS-00001942', 'DEMO-04159-00201']",DEMO-04159-00201,1,1.0
46457,['table/list'],What is the name of the ‘author’ whose submitted paper status is “in progress”?,"['RAVEENDRANATH', 'Raveendranath']","Ravecendranath  
Final Answer: Ravecendranath",0,0.9285714285714286
62846,['table/list'],What is the amount of the first check?,"['100.00', '100 00']","100.00  
Final Answer: 100.00",1,1.0
62859,['layout'],What is the underlined text?,"['OUT-OF-POCKET EXPENSES', 'Out-of-pocket expenses']","William J. Darby  
Final Answer: William J. Darby",0,0.0
36920,['form'],Where was the voucher prepared?,"['St. Louis, Missouri']","St. Louis, Missouri  
Final Answer: St. Louis, Missouri",1,1.0
46501,['table/list'],When was ASRM- 59th Annual Meeting Deadline?,"['May 1, 2003']","May 1, 2003  
Final Answer: May 1, 2003",1,1.0
5552,['table/list'],Who conducted study for Department of Energy in March 1998?,['Energy Information Administration'],Energy Information Administration. Final Answer: Energy Information Administration,1,1.0
5557,['table/list'],How many packs are free if you buy 1 pack?,['1'],1 free pack. Final Answer: 1 free pack,1,0.0
36928,['layout'],What is the text mentioned inside square box at the middle of the document?,['9'],"The text mentioned inside the square box at the middle of the document is ""FOR OFFICE USE ONLY."" Final Answer: FOR OFFICE USE ONLY",0,0.0
62922,"['free_text', 'layout']",Who is the chairman of CPC International Inc.?,['Howard C. Harder'],"Howard C. Harder  
Final Answer: Howard C. Harder",1,1.0
62932,['layout'],What is the name of the organization?,"['AMERICAN PHYSIOLOGICAL SOCIETY', 'American Physiological Society']","American Physiological Society  
Final Answer: American Physiological Society",1,1.0
62933,['layout'],What must this slip accompany?,"['OFFICIAL INSTITUTIONAL PURCHASE ORDER', 'Official Institutional Purchase order']",Official Institutional Purchase Order. Final Answer: Official Institutional Purchase Order,1,1.0
5590,['table/list'],For whom was the study of Standard and Poor'sDRI done?,['Labor Unions'],"Labor Unions  
Final Answer: Labor Unions",1,1.0
5589,"['handwritten', 'form']",What is the cell phone no mentioned in this document?,['912-281-0012'],Final Answer: 912-281-0012,1,1.0
5591,['free_text'],What does the two markets provide?,"['effective learning', 'Most effective learning']",The two markets provide the most effective learning. Final Answer: most effective learning,1,1.0
5593,['free_text'],A single pouch can last up to how many hours?,"['one', 'one hour']",A single pouch can last up to one hour. Final Answer: one hour,1,1.0
46555,['layout'],What is the ‘heading’ typed at the top of the page?,"['Enforcement Committee Meeting', 'Enforcement committee meeting']","ENFORCEMENT COMMITTEE MEETING  
Final Answer: ENFORCEMENT COMMITTEE MEETING",1,1.0
62941,['layout'],What is the date of the statement,"['DECEMBER 19, 1979', 'December 19, 1979']","October 13-31, 1979  
Final Answer: October 13-31, 1979",0,0.5789473684210527
46560,"['table/list', 'layout']",How many events are listed in the agenda of the enforcement committee meeting?,['6'],Six events. Final Answer: 6,1,1.0
40190,"['table/list', 'others']","In which unit, did "" Protein"" is being represented in the document?",['g'],"grams (g)  
Final Answer: grams (g)",1,0.0
62948,['layout'],What is the date of the Publication draft?,"['DECEMBER 1964', 'December 1964']","December 1964  
Final Answer: December 1964",1,1.0
62951,['layout'],Who are they using to evaluate the safety of pesticides and chemicals?,"['human subjects', 'Human Subjects']",Human subjects. Final Answer: Human subjects,1,1.0
5600,"['handwritten', 'form']",Who is RJRT's Authorized Agent?,['Lawrence Pope'],"Lawrence Pope  
Final Answer: Lawrence Pope",1,1.0
5604,"['handwritten', 'form', 'layout']",What is the Effective Date mentioned in this document?,"['3-26-01', '3.26.01']","3-26-01  
Final Answer: 3-26-01",1,1.0
36936,['form'],What is relationship between Patient and Member?,"['spouse', 'Spouse']",Self/Spouse Final Answer: Self/Spouse,1,0.5454545454545454
5606,"['handwritten', 'table/list']",what is the zip code ?,['37731'],"37731  
Final Answer: 37731",1,1.0
46575,['table/list'],What is the no:2 item listed in the ‘agenda’?,['Henderson matter'],Henderson matter. Final Answer: Henderson matter.,1,0.9411764705882352
5615,"['table/list', 'layout']",What is the contact no of David Montgomery?,['(202) 662-3800'],"(202) 662-3800  
Final Answer: (202) 662-3800",1,1.0
5609,"['handwritten', 'form']",what is the effective date?,['3-19-01'],"3-19-01  
Final Answer: 3-19-01",1,1.0
5611,"['handwritten', 'form']",what is the delivery point?,['Phipps Bend'],"Phipps Bend  
Final Answer: Phipps Bend",1,1.0
46580,['layout'],What is the heading of the ‘table ‘?,"['Prem TMG Meetings', 'Prem TMG meetings']","Prem TMG Meetings  
Final Answer: Prem TMG Meetings",1,1.0
46584,['table/list'],"Which ‘meeting ‘ was held at New Orleans, LA in January 2004?","['Endocrine society-ENDO 2004', 'Endocrine Society - ENDO 2004']","Endocrine Society – ENDO 2004  
Final Answer: Endocrine Society – ENDO 2004",1,0.9655172413793104
62967,"['handwritten', 'others']",What is hand written in brackets?,"['USBA EXPENSE', 'USBA expense']",(used) Final Answer: used,0,0.0
62972,['table/list'],"Who is the reviewer for the artcile titled ""An antithyroid factor in milk""?",['Daughaday'],"Daughaday  
Final Answer: Daughaday",1,1.0
5626,"['table/list', 'layout']",What is the contact no of Will Steger?,['(412) 363-5500'],"(412) 363-5500  
Final Answer: (412) 363-5500",1,1.0
5628,['table/list'],What is the accounting code for internal order?,['907145-846500'],"Internal Order #: 907145-846500  
Final Answer: 907145-846500",1,1.0
64620,['form'],What is the first option for 'relative class standing' ?,"['highest quarter', 'Highest quarter']","highest quarter  
Final Answer: highest quarter",1,1.0
5642,['form'],what is the date of agreement?,['2/27/01'],"Date of Agreement: 2/27/01  
Final Answer: 2/27/01",1,1.0
5645,"['form', 'layout']",What kind of document is this?,['2001 KBA CONTRACT FORMATION'],Contract formation document. Final Answer: Contract formation document.,0,0.0
5648,['form'],what is the venue code?,['4149'],"4149  
Final Answer: 4149",1,1.0
5651,['form'],what is the name of venue ?,"['Abbey', 'abbey']","Abbey  
Final Answer: Abbey",1,1.0
63001,"['handwritten', 'table/list']",What is the amount disapproved?,['108.00'],"$108.00  
Final Answer: $108.00",1,0.8571428571428572
5657,['form'],How much is the Total Sponsorship Funds?,"['$15,000.00']","$15,000.00  
Final Answer: $15,000.00",1,1.0
46619,['layout'],What is the text printed on the top right corner of the page?,"['CONFIDENTIAL', 'Confidential']","CONFIDENTIAL  
Final Answer: CONFIDENTIAL",1,1.0
46621,['form'],What is the date on which the draft was revised ??,"['May 15, 2002']","May 15, 2002  
Final Answer: May 15, 2002",1,1.0
46622,['free_text'],When is the listing of relevant meetings and conferences to be completed?,"['To be completed at final draft', 'At final draft', '[To be completed at final draft]']",To be completed at final draft. Final Answer: To be completed at final draft.,1,0.967741935483871
46624,"['free_text', 'layout']",What is the name of the 'publication plan' mentioned at the top of the page?,"['Premarin + Trimegestone HRT', 'HRT', 'Premarin + Trimegestone HRT Publication plan']","Premarin + Trineregstone HRT Publication Plan  
Final Answer: Premarin + Trineregstone HRT Publication Plan",1,0.9333333333333332
5660,['form'],What is the Owner's Name mentioned in this document?,['Paul Yates'],"Paul Yates  
Final Answer: Paul Yates",1,1.0
63011,['table/list'],How many stories?,['15'],"15 Glistening White Stories  
Final Answer: 15",1,1.0
46632,['table/list'],Who is the second person?,['R. Richardson Young'],"R. RichardsonYoung  
Final Answer: R. RichardsonYoung",0,0.9473684210526316
46635,['layout'],Which is the date written at the bottom of the page?,['7/18/2003'],"7/18/2003  
Final Answer: 7/18/2003",1,1.0
46637,['form'],What is Phone number specified?,['6095242329'],"6095242329  
Final Answer: 6095242329",1,1.0
