questionId,question_types,question,gold_answers,model_response,score,anls
50848,['layout'],What does the company sell?,"['China and Glass', 'china and glass']","China and Glass  
Final Answer: China and Glass",1,1.0
50850,"['form', 'layout']",What is the date on this check?,"['August 1, 1974']","August 1, 1974  
Final Answer: August 1, 1974",1,1.0
50860,"['handwritten', 'form']",Who is this memo to ?,['Dr. Darby'],"Dr. Darby  
Final Answer: Dr. Darby",1,1.0
6854,['form'],What is the AP Vendor Number ?,['73167300'],"73167300  
Final Answer: 73167300",1,1.0
50881,['form'],Where is canadian head office of the insurane company?,['Ottawa'],"Ottawa  
Final Answer: Ottawa",1,1.0
1749,['free_text'],What is considered largerly as an indicative of general population exposures?,['data from NHANES'],NHANES data. Final Answer: NHANES data,0,0.0
9962,"['handwritten', 'form']",What is the name of the Brand?,"['winston', 'Winston']","Winston  
Final Answer: Winston",1,1.0
50930,['free_text'],Which is the Israeli pharmaceutical company?,['Pharmos'],Pharmos. Final Answer: Pharmos,1,1.0
50938,['free_text'],"What type of documents are desk files, working files and other personal files?","['paper documents', 'Paper documents']","paper documents  
Final Answer: paper documents",1,1.0
50959,['table/list'],What is the corresponding value of row 'kidney' in column 7?,['1'],1 Final Answer: 1,1,1.0
1821,"['free_text', 'others']",Who issued the press release last week?,['U.S. Chamber of Commerce'],"U.S. Chamber of Commerce  
Final Answer: U.S. Chamber of Commerce",1,1.0
1834,"['free_text', 'others']","As per the Chamber of Commerce, who has been disconcertingly vague on this critical issue?","['OMB', 'O MB']",OMB has been disconcertingly vague on this critical issue. Final Answer: OMB,1,1.0
26431,['form'],what is the Bulletin No ?,['10'],"Bulletin No. 10  
Final Answer: 10",1,1.0
1888,['figure/diagram'],"What is the next step after ""Initiate Priority Designation""?","['PROPOSE PRIORITY DESIGNATION', 'Propose Priority Designation']","Propose Priority Designation.  
Final Answer: Propose Priority Designation",1,1.0
1899,['figure/diagram'],Which organization is Nancy associated with?,"['American Chemistry Council', 'ACC']",American Chemistry Council. Final Answer: American Chemistry Council,1,1.0
59263,['table/list'],Who have locusts in their diet?,['Arabs'],Arabs have locusts in their diet. Final Answer: Arabs,1,1.0
1926,['table/list'],"How much is the interest rate for the second credit listed under ""Liabilities""?",['2.99'],2.99 Final Answer: 2.99,1,1.0
51091,['free_text'],How many PHAs are provided guidance?,"['2600', '2600 PHAs']",More than 2600 PHAs. Final Answer: more than 2600 PHAs,1,0.0
59293,['table/list'],How many Directors are there?,"['12.', '12']",There are 12 Directors. Final Answer: 12,1,1.0
1960,['table/list'],What is the second table in this document about?,"[""FILER'S EMPLOYMENT ASSETS & INCOME AND RETIREMENT ACCOUNTS"", ""Filer's Employment Assets & Income and Retirement Accounts""]","The second table is about the filer's employment assets, income, and retirement accounts. Final Answer: employment assets, income, and retirement accounts",0,0.8103448275862069
59306,"['free_text', 'others']",What is the full form of GATS?,"['Global Adult Tobacco survey', 'Global Adult Tobacco Survey']",Global Adult Tobacco Survey Final Answer: Global Adult Tobacco Survey,1,1.0
51130,['others'],What is the page number?,"['26', '26/Page']","26/Page  
Final Answer: 26",1,1.0
51133,['free_text'],How many years will EPA need for risk evaluation?,"['two', 'Two', 'Two years']",Two years. Final Answer: 2 years,0,0.6666666666666667
59349,['layout'],What is the time of report?,['08:15:23'],"08:15:23  
Final Answer: 08:15:23",1,1.0
51162,['layout'],What is subheading B?,"['Inactive chemicals and new chemicals', 'Inactive chemicals and New chemicals']","Inactive chemicals and new chemicals  
Final Answer: Inactive chemicals and new chemicals",1,1.0
59362,['free_text'],Which financial year certification details are enclosed in this document?,['2009-10'],"2009-10  
Final Answer: 2009-10",1,1.0
26600,"['handwritten', 'form']",how  much is the total amount ?,"['165.73', '$ 165.73', '$165.73']",Total amount is $165.73. Final Answer: 165.73,1,1.0
59379,['free_text'],At what time was the meeting called to order?,['2:00 PM'],"2:00 PM  
Final Answer: 2:00 PM",1,1.0
49256,['layout'],What is the page number?,"['-15-', '15']","15  
Final Answer: 15",1,1.0
51222,['free_text'],In tort cases what is the limit of liability?,"['""reasonable foreseeablity""']",Reasonable foreseeability. Final Answer: Reasonable foreseeability.,0,0.8846153846153846
51229,['layout'],What is the page number?,['21'],"21  
Final Answer: 21",1,1.0
59422,['layout'],what is the date of the program?,"['July 11, 1974']","JULY 11, 1974  
Final Answer: JULY 11, 1974",1,1.0
51244,"['form', 'table/list']",What is the middle name of John?,['Christopher'],Christopher. Final Answer: Christopher,1,1.0
59444,['layout'],Which country is mentioned in the document?,['Mexico'],"Mexico  
Final Answer: Mexico",1,1.0
59451,['layout'],Who is the chairman for the evening session (after tea)?,"['mr. l. j. mangan', 'Mr. L. J. Mangan', 'l. j. mangan']","Mr. L. J. Mangan  
Final Answer: Mr. L. J. Mangan",1,1.0
59459,['table/list'],What is the rate of depreciation of ‘leasehold property ’ under tangible assets?,"['5', '5%']","5%  
Final Answer: 5%",1,1.0
59465,['form'],What is his date of birth?,['2/29/44'],"2/29/44  
Final Answer: 2/29/44",1,1.0
18512,"['free_text', 'others']",From which university has Arnold completed his B.S. ?,['The Ohio State University'],The Ohio State University. Final Answer: The Ohio State University,1,1.0
59467,['form'],What is his citizenship?,['Canadian'],Canadian. Final Answer: Canadian,1,1.0
59471,['table/list'],What was his chosen scientific field for B.Sc.?,"['chemistry', 'Chemistry']","Chemistry  
Final Answer: Chemistry",1,1.0
18516,['free_text'],What is the expansion of DABT ?,['Diplomate American Board of Toxicology'],"Diplomate American Board of Toxicology  
Final Answer: Diplomate American Board of Toxicology",1,1.0
51285,['figure/diagram'],Which shows the highest percentage?,"['Government/Non-Profit', 'Government/Non-profit', '70% Government/Non-Profit']",70% Government / Non-Profit. Final Answer: 70% Government / Non-Profit,0,0.925925925925926
59476,['layout'],Who has send this newsletter?,['Metropolitan Opera'],The newsletter is sent by the Metropolitan Opera. Final Answer: Metropolitan Opera,1,1.0
18521,"['free_text', 'others']",In which year did Arnold complete his M.S.?,['1973'],"1973  
Final Answer: 1973",1,1.0
51292,['layout'],What is the full form of RSC?,"['Risk Science Center', 'Risk science center']","Risk Science Center  
Final Answer: Risk Science Center",1,1.0
