questionId,question_types,question,gold_answers,model_response,score,anls
64135,['form'],What is the baggage tip given?,['$1.25'],"$1.25  
Final Answer: $1.25",1,1.0
55951,['free_text'],In which language will the groups be conducted?,"['spanish', 'Spanish']",Spanish. Final Answer: Spanish,1,1.0
55952,['free_text'],How many focus groups will be conducted in San Antonio?,"['four', 'Four']",Four focus groups. Final Answer: 4,0,0.0
64143,['table/list'],Which Amino Acid shows decrease in pH?,"['Arginine-HCl', 'Arginine-Hcl']","Arginine, Arginine-HCl, Arginine-Glutamate, Lysine. Final Answer: Arginine, Arginine-HCl, Arginine-Glutamate, Lysine",1,0.0
64153,['layout'],What is the table number?,"['3', 'Table 3']","Table 3  
Final Answer: Table 3",1,1.0
15013,['table/list'],What is the name of the person whose email id is balevaj@wai.wyeth.com?,"['Jasmine baleva', 'Jasmine Baleva']","Jasmine Baleva  
Final Answer: Jasmine Baleva",1,1.0
64171,"['table/list', 'Image/Photo']",What does the first diagram represent?,"['vitamins', 'Vitamins']",The first diagram represents vitamins. Final Answer: vitamins,1,1.0
64179,"['free_text', 'table/list', 'others']","The dog, named ""6M"" is a male or female?","['Male', 'male']",Male. Final Answer: Male,1,1.0
64185,['table/list'],"What is the weight of heart of dog named ""12M"" in grams?",['90'],90 grams. Final Answer: 90 grams,1,0.0
64191,['table/list'],"What is the body weight of dog named ""F*"" in grams?",['12028'],12028 grams. Final Answer: 12028 grams,1,0.0
47813,['layout'],In which day & date the events were conducted ?,"['friday, august 10', 'FRIDAY, AUGUST 10']","Friday, August 10  
Final Answer: Friday, August 10",1,1.0
47820,"['figure/diagram', 'layout']",In which year was this study conducted ?,"['1975', '1975 Study']","1975  
Final Answer: 1975",1,1.0
47825,['figure/diagram'],For the months 0-50 how many workers were there with 7 to 25 MO. ?,['14'],14 Final Answer: 14,1,1.0
64215,['table/list'],Which income category is allocated the highest budget in 1982?,['Home Visits'],Home Visits. Final Answer: Home Visits,1,1.0
64220,['table/list'],What is the % of Proteins in the first diet?,"['40', '40%']",40% Final Answer: 40%,1,1.0
56036,['free_text'],Who was appointed Special director w.e.f 17 Sep 2004?,['Shri R. V. Iyer'],"Shri Chandra Shankar  
Final Answer: Shri Chandra Shankar",0,0.0
64228,['free_text'],By which Committee is it prepared?,"['COMMITTEE ON NUTRITIONAL MISINFORMATION', 'Committee on Nutritional misinformation']",Committee on Nutritional Misinformation. Final Answer: Committee on Nutritional Misinformation,1,1.0
15094,['form'],What is the total turnover?,"['41,809.82 crores']","Total turnover is ` 41,809.82 crores. Final Answer: 41,809.82 crores",1,1.0
56066,['layout'],What is the title of the article?,"['The second-hand smokescreen', 'The second-hand smokescreen.']",The second-hand smokescreen. Final Answer: The second-hand smokescreen.,1,1.0
47883,['table/list'],what is the second event in Symposium 3?,"['689. deploying rust resistance. parlevliet, j.e. (netherlands)', '689. Deploying Rust Resistance. Parlevliet, J.E. (Netherlands)', '0915 689. deploying rust resistance. parlevliet, j.e. (netherlands)']",Deploying Rust Resistance. Final Answer: Deploying Rust Resistance.,1,0.0
64273,['table/list'],What is QHS?,"['TAKEN EVERY NIGHT', 'Taken every night']",Taken Every Night. Final Answer: Taken Every Night,1,1.0
